seed,candidate,update,train_nll,gradient_norm,input_tokens_cumulative,effective_labels_cumulative,update_seconds
29,a08,70,2.422435700893402,0.5274915099143982,143360,143080,0.9612477337941527
29,a08,71,2.6141237020492554,0.56749427318573,145408,145124,0.7706809276714921
29,a08,72,2.6829747557640076,0.5467264652252197,147456,147168,0.9225059635937214
29,a08,73,2.4602403044700623,0.5768769979476929,149504,149212,1.0930377822369337
29,a08,74,2.5905752182006836,0.4761195778846741,151552,151256,0.892736236564815
29,a08,75,2.4810163974761963,0.5506455898284912,153600,153300,0.9014680366963148
29,a08,76,2.410289227962494,0.655417799949646,155648,155344,0.8991242377087474
29,a08,77,2.926286816596985,0.5925964117050171,157696,157388,0.8822348341345787
29,a08,78,2.483479380607605,0.5578917860984802,159744,159432,0.9972830694168806
29,a08,79,2.3979331254959106,0.6467796564102173,161792,161476,1.0090169282630086
29,a08,80,2.4225382208824158,0.5297088027000427,163840,163520,0.9181201690807939
29,a08,81,2.277434289455414,0.6253959536552429,165888,165564,0.8039361909031868
29,a08,82,2.57822722196579,0.5639174580574036,167936,167608,0.7942303568124771
29,a08,83,2.6543235182762146,0.6231238842010498,169984,169652,0.7274703243747354
29,a08,84,2.416069597005844,0.5432841777801514,172032,171696,0.7435238771140575
29,a08,85,2.3849406838417053,0.5780029892921448,174080,173740,0.7334043867886066
29,a08,86,2.4895774126052856,0.6973846554756165,176128,175784,1.0657606488093734
29,a08,87,2.431274652481079,0.5851151347160339,178176,177828,0.8735071457922459
29,a08,88,2.4692108035087585,0.6094830632209778,180224,179872,1.0551713882014155
29,a08,89,2.5455355048179626,0.5783352851867676,182272,181916,0.8366189701482654
29,a08,90,2.215943217277527,0.5414674282073975,184320,183960,0.753518421202898
29,a08,91,2.3633953034877777,0.6330462098121643,186368,186004,0.761077512986958
29,a08,92,2.4250683188438416,0.546939492225647,188416,188048,0.7412426266819239
29,a08,93,2.3678024411201477,0.6146054863929749,190464,190092,0.7920044530183077
29,a08,94,2.420593738555908,0.5862358808517456,192512,192136,0.78849464841187
29,a08,95,2.5113444328308105,0.627535879611969,194560,194180,2.591363457031548
29,a08,96,2.869916260242462,0.677323043346405,196608,196224,0.7647652979940176
29,a08,97,2.5091333985328674,0.5282145738601685,198656,198268,0.753738715313375
29,a08,98,2.4117819368839264,0.5657958388328552,200704,200312,0.7087257904931903
29,a08,99,2.381373643875122,0.6019792556762695,202752,202356,0.6975746359676123
29,a08,100,2.4065669775009155,0.5693355798721313,204800,204400,0.6772672943770885
29,a09,1,2.7130045294761658,0.22469039261341095,2048,2044,2.2572448682039976
29,a09,2,2.5794896483421326,0.251274049282074,4096,4088,0.7501854505389929
29,a09,3,2.5107735991477966,0.24761508405208588,6144,6132,0.7407809030264616
29,a09,4,2.6851701736450195,0.2532450258731842,8192,8176,0.8192289993166924
29,a09,5,2.7804279923439026,0.25499019026756287,10240,10220,0.8971672151237726
29,a09,6,2.311514377593994,0.24085693061351776,12288,12264,0.8483256064355373
29,a09,7,2.827000141143799,0.31557387113571167,14336,14308,0.8377981623634696
29,a09,8,2.7663084268569946,0.2398449331521988,16384,16352,2.582271390594542
29,a09,9,2.5272997319698334,0.28343072533607483,18432,18396,0.839592108502984
29,a09,10,2.7746989130973816,0.3145124614238739,20480,20440,1.0254603680223227
29,a09,11,2.7140347361564636,0.3275645673274994,22528,22484,0.8883150480687618
29,a09,12,2.781738519668579,0.36379295587539673,24576,24528,0.8109899684786797
29,a09,13,2.7038848996162415,0.32668185234069824,26624,26572,0.7997954543679953
29,a09,14,2.6745129227638245,0.3175528049468994,28672,28616,0.8067499911412597
29,a09,15,2.687247395515442,0.3772883713245392,30720,30660,0.9058662867173553
29,a09,16,2.6604432463645935,0.29607027769088745,32768,32704,0.8487724317237735
29,a09,17,2.7729153633117676,0.3591245412826538,34816,34748,0.8310951152816415
29,a09,18,2.6348397731781006,0.3747696876525879,36864,36792,0.8710049334913492
29,a09,19,2.6286720633506775,0.3758517801761627,38912,38836,0.9645300107076764
29,a09,20,2.682198941707611,0.49627313017845154,40960,40880,1.2060812637209892
29,a09,21,2.8765389919281006,0.4124717116355896,43008,42924,0.9271951140835881
29,a09,22,2.747482180595398,0.39364317059516907,45056,44968,0.9178587030619383
29,a09,23,2.9674635529518127,0.3729710578918457,47104,47012,0.9743497790768743
29,a09,24,2.266042947769165,0.3452415466308594,49152,49056,0.8500192938372493
29,a09,25,2.6233716011047363,0.4045470654964447,51200,51100,0.8801135960966349
29,a09,26,2.7836444973945618,0.4473555386066437,53248,53144,1.4712199391797185
29,a09,27,2.4710413813591003,0.41778337955474854,55296,55188,1.3659438472241163
29,a09,28,2.6291584968566895,0.4588110148906708,57344,57232,1.2644402906298637
29,a09,29,2.3505791425704956,0.4305388629436493,59392,59276,1.3147901073098183
29,a09,30,2.26050865650177,0.4416469633579254,61440,61320,0.755439049564302
29,a09,31,2.491583526134491,0.5595335364341736,63488,63364,0.8356256010010839
29,a09,32,2.370897054672241,0.49996399879455566,65536,65408,0.8329266710206866
29,a09,33,2.5220395922660828,0.5438968539237976,67584,67452,0.7829131456092
29,a09,34,2.5043066143989563,0.5091463327407837,69632,69496,0.8370753759518266
29,a09,35,2.6380313634872437,0.5839941501617432,71680,71540,0.7777954135090113
29,a09,36,2.3866459131240845,0.5253245830535889,73728,73584,0.6850789692252874
29,a09,37,2.81779021024704,0.4784379303455353,75776,75628,2.7255115900188684
29,a09,38,2.39273738861084,0.6140166521072388,77824,77672,0.9045377019792795
29,a09,39,2.8993568420410156,0.5753076076507568,79872,79716,0.7722947420552373
29,a09,40,2.8126302361488342,0.7510561943054199,81920,81760,0.7977615874260664
29,a09,41,2.453669786453247,0.4928413927555084,83968,83804,0.796237064525485
29,a09,42,2.3657107055187225,0.500779926776886,86016,85848,0.8366132965311408
29,a09,43,2.675278663635254,0.4885014593601227,88064,87892,0.8244318766519427
29,a09,44,2.4893791377544403,0.5877640247344971,90112,89936,0.8865051483735442
29,a09,45,2.623534083366394,0.4495997726917267,92160,91980,0.9370703147724271
29,a09,46,2.8276127576828003,0.4979304075241089,94208,94024,0.9092188468202949
29,a09,47,2.452830195426941,0.46604883670806885,96256,96068,1.0832313196733594
29,a09,48,2.708130717277527,0.51397705078125,98304,98112,0.8823129683732986
29,a09,49,2.3504693508148193,0.4916294813156128,100352,100156,0.8781352732330561
29,a09,50,2.508088231086731,0.5176849961280823,102400,102200,0.9319727485999465
