split,first_layer,second_layer,sample_index,source_window_index,nll
calibration,1,,71,683,4.252496719360352
calibration,1,,72,3712,4.468798637390137
calibration,1,,73,4597,4.625546455383301
calibration,1,,74,2003,5.358017921447754
calibration,1,,75,38,4.7892937660217285
calibration,1,,76,2557,5.49769401550293
calibration,1,,77,648,4.994124412536621
calibration,1,,78,2091,4.872411727905273
calibration,1,,79,2261,4.613223552703857
calibration,1,,80,2086,5.366273880004883
calibration,1,,81,4297,4.32961368560791
calibration,1,,82,3993,4.999040603637695
calibration,1,,83,559,4.248677730560303
calibration,1,,84,3219,4.603649139404297
calibration,1,,85,3324,4.898005962371826
calibration,1,,86,4366,4.495543479919434
calibration,1,,87,323,4.670712947845459
calibration,1,,88,3151,4.3395514488220215
calibration,1,,89,2912,4.4067606925964355
calibration,1,,90,2892,4.4615349769592285
calibration,1,,91,1031,6.565560340881348
calibration,1,,92,2905,4.260037422180176
calibration,1,,93,1747,5.587485313415527
calibration,1,,94,1426,5.742892742156982
calibration,1,,95,1288,5.117158889770508
calibration,3,,0,720,3.280181407928467
calibration,3,,1,3796,3.1224124431610107
calibration,3,,2,2979,2.5547120571136475
calibration,3,,3,3195,2.6992273330688477
calibration,3,,4,3348,2.827564001083374
calibration,3,,5,636,2.6894431114196777
calibration,3,,6,655,2.7591636180877686
calibration,3,,7,4470,2.7552945613861084
calibration,3,,8,3767,2.440669059753418
calibration,3,,9,1123,2.642218828201294
calibration,3,,10,1907,2.7855236530303955
calibration,3,,11,4325,2.984257936477661
calibration,3,,12,3374,2.9233388900756836
calibration,3,,13,552,2.3860998153686523
calibration,3,,14,1983,2.9673922061920166
calibration,3,,15,279,2.810978412628174
calibration,3,,16,3116,2.980771064758301
calibration,3,,17,3247,3.176764965057373
calibration,3,,18,4798,2.986239194869995
calibration,3,,19,2782,2.504209518432617
calibration,3,,20,2029,2.9518163204193115
calibration,3,,21,3681,2.7767176628112793
calibration,3,,22,252,2.1452410221099854
calibration,3,,23,2694,2.6173830032348633
calibration,3,,24,1696,3.105574369430542
calibration,3,,25,1,3.144685745239258
calibration,3,,26,1432,2.6853761672973633
calibration,3,,27,3131,3.0057806968688965
calibration,3,,28,4718,2.9930665493011475
calibration,3,,29,2055,2.710341453552246
calibration,3,,30,4817,2.9039251804351807
calibration,3,,31,2110,2.662508249282837
calibration,3,,32,4972,2.538487672805786
calibration,3,,33,3779,2.1826045513153076
calibration,3,,34,4553,1.6549491882324219
calibration,3,,35,4505,2.4808688163757324
calibration,3,,36,779,2.803788661956787
calibration,3,,37,375,2.826007604598999
calibration,3,,38,3175,2.767439842224121
calibration,3,,39,1099,2.605346918106079
calibration,3,,40,3387,3.3317368030548096
calibration,3,,41,3081,2.0365984439849854
calibration,3,,42,461,2.416210651397705
calibration,3,,43,429,3.0123887062072754
calibration,3,,44,2649,2.8824541568756104
calibration,3,,45,1815,2.69288969039917
calibration,3,,46,4318,2.766324520111084
calibration,3,,47,226,2.8706352710723877
calibration,3,,48,4210,2.684133768081665
calibration,3,,49,892,2.675051689147949
calibration,3,,50,2021,2.853311538696289
calibration,3,,51,2579,2.256079912185669
calibration,3,,52,2843,2.755232572555542
calibration,3,,53,2661,2.1353280544281006
calibration,3,,54,426,3.025078296661377
calibration,3,,55,768,3.2461960315704346
calibration,3,,56,2163,2.807029962539673
calibration,3,,57,2378,2.6302711963653564
calibration,3,,58,1777,3.1111879348754883
calibration,3,,59,2019,2.7542951107025146
calibration,3,,60,611,2.698051929473877
calibration,3,,61,1632,2.9248037338256836
calibration,3,,62,1668,2.267385959625244
calibration,3,,63,2131,2.2665886878967285
calibration,3,,64,4582,1.0683568716049194
calibration,3,,65,3185,2.4786360263824463
calibration,3,,66,3604,2.5894112586975098
calibration,3,,67,2688,2.690655469894409
calibration,3,,68,1024,2.6823532581329346
calibration,3,,69,3447,3.006754159927368
calibration,3,,70,1624,2.63685941696167
calibration,3,,71,683,2.2913777828216553
calibration,3,,72,3712,2.9268321990966797
calibration,3,,73,4597,2.2079732418060303
calibration,3,,74,2003,2.63765549659729
calibration,3,,75,38,2.741615056991577
calibration,3,,76,2557,2.39711594581604
calibration,3,,77,648,2.98651123046875
calibration,3,,78,2091,2.291492462158203
calibration,3,,79,2261,2.979172945022583
calibration,3,,80,2086,2.954580783843994
calibration,3,,81,4297,2.946668863296509
calibration,3,,82,3993,2.310137987136841
calibration,3,,83,559,2.523677349090576
calibration,3,,84,3219,3.1942195892333984
calibration,3,,85,3324,2.868041753768921
calibration,3,,86,4366,3.1392059326171875
calibration,3,,87,323,2.898404359817505
calibration,3,,88,3151,2.6596736907958984
calibration,3,,89,2912,2.4941463470458984
calibration,3,,90,2892,3.0991830825805664
calibration,3,,91,1031,3.283860683441162
calibration,3,,92,2905,1.9383059740066528
calibration,3,,93,1747,2.8379979133605957
calibration,3,,94,1426,2.880340576171875
calibration,3,,95,1288,2.6805005073547363
calibration,6,,0,720,3.068601608276367
calibration,6,,1,3796,3.075063943862915
calibration,6,,2,2979,2.5346503257751465
calibration,6,,3,3195,2.6177480220794678
calibration,6,,4,3348,2.7740318775177
calibration,6,,5,636,2.602424383163452
calibration,6,,6,655,2.739405870437622
calibration,6,,7,4470,2.7535510063171387
calibration,6,,8,3767,2.431401014328003
calibration,6,,9,1123,2.6043009757995605
calibration,6,,10,1907,2.748663902282715
calibration,6,,11,4325,2.8935351371765137
calibration,6,,12,3374,2.859877109527588
calibration,6,,13,552,2.3520514965057373
calibration,6,,14,1983,2.7838282585144043
calibration,6,,15,279,2.6677932739257812
calibration,6,,16,3116,2.942596912384033
calibration,6,,17,3247,3.0991225242614746
calibration,6,,18,4798,2.931335926055908
calibration,6,,19,2782,2.4300153255462646
calibration,6,,20,2029,2.7940785884857178
calibration,6,,21,3681,2.723598003387451
